0.125, 0.010, 1.035, -26.000, -21.000, 9.000
0.003, 0.009, 1.035, -24.000, -20.000, 7.000
0.004, 0.012, 1.036, -25.000, -20.000, 10.000
0.124, 0.011, 1.031, -25.000, -20.000, 8.000
0.004, 0.010, 1.036, -25.000, -20.000, 14.000
0.001, 0.011, 1.029, -27.000, -20.000, 10.000
-0.124, 0.015, 1.036, -28.000, -20.000, 10.000
0.002, 0.007, 1.039, -30.000, -20.000, 12.000
0.002, 0.011, 1.033, -28.000, -20.000, 9.000
0.002, 0.013, 1.037, -25.000, -22.000, 10.000
0.006, 0.009, 1.035, -27.000, -21.000, 10.000
0.005, 0.013, 1.035, -29.000, -20.000, 10.000
0.004, 0.010, 1.034, -25.000, -20.000, 8.000
0.005, 0.012, 1.033, -26.000, -18.000, 7.000
0.005, 0.008, 1.033, -24.000, -19.000, 9.000
0.003, 0.012, 1.035, -25.000, -19.000, 9.000
-0.125, 0.014, 1.035, -26.000, -21.000, 7.000
0.002, 0.009, 1.033, -27.000, -19.000, 8.000
0.127, 0.010, 1.038, -26.000, -20.000, 10.000
0.004, 0.008, 1.036, -25.000, -20.000, 11.000
0.005, 0.009, 1.030, -22.000, -21.000, 7.000
0.007, 0.008, 1.036, -26.000, -19.000, 10.000
0.002, 0.010, 1.034, -27.000, -20.000, 9.000
0.002, 0.013, 1.035, -26.000, -20.000, 12.000
0.002, 0.007, 1.032, -24.000, -20.000, 11.000
0.004, 0.013, 1.038, -26.000, -21.000, 9.000
0.002, 0.011, 1.033, -25.000, -18.000, 10.000
0.002, 0.014, 1.034, -30.000, -20.000, 11.000
0.007, 0.014, 1.030, -27.000, -19.000, 9.000
0.006, 0.011, 1.031, -28.000, -19.000, 9.000
0.002, 0.011, 1.035, -25.000, -19.000, 9.000
0.002, 0.013, 1.036, -27.000, -18.000, 12.000
0.000, 0.013, 1.037, -28.000, -20.000, 11.000
0.004, 0.009, 1.034, -27.000, -18.000, 11.000
0.002, 0.009, 1.033, -25.000, -20.000, 10.000
0.002, 0.006, 1.031, -27.000, -18.000, 11.000
-0.126, 0.009, 1.029, -26.000, -18.000, 10.000
0.004, 0.008, 1.035, -27.000, -21.000, 9.000
0.005, 0.008, 1.035, -26.000, -18.000, 11.000
0.002, 0.009, 1.034, -23.000, -19.000, 10.000
0.004, 0.010, 1.034, -27.000, -20.000, 12.000
0.004, 0.013, 1.035, -26.000, -20.000, 10.000
0.004, 0.008, 1.032, -27.000, -19.000, 8.000
0.002, 0.013, 1.036, -25.000, -20.000, 8.000
0.002, 0.013, 1.033, -25.000, -18.000, 11.000
0.006, 0.009, 1.031, -29.000, -20.000, 8.000
0.002, 0.007, 1.041, -25.000, -20.000, 10.000
0.001, 0.009, 1.031, -25.000, -18.000, 8.000
0.002, 0.009, 1.036, -26.000, -19.000, 11.000
0.004, 0.010, 1.033, -27.000, -19.000, 9.000
0.002, 0.008, 1.039, -25.000, -19.000, 9.000
0.001, 0.011, 1.033, -26.000, -20.000, 11.000
0.127, 0.012, 1.035, -28.000, -19.000, 10.000
0.002, 0.011, 1.038, -26.000, -22.000, 10.000
0.002, 0.008, 1.032, -27.000, -20.000, 12.000
0.004, 0.007, 1.033, -27.000, -18.000, 12.000
0.126, 0.010, 1.033, -27.000, -20.000, 10.000
0.002, 0.012, 1.033, -26.000, -19.000, 7.000
0.127, 0.007, 1.033, -23.000, -20.000, 10.000
0.002, 0.009, 1.036, -27.000, -20.000, 8.000
0.000, 0.007, 1.036, -25.000, -19.000, 10.000
0.002, 0.010, 1.036, -28.000, -19.000, 9.000
0.003, 0.015, 1.031, -25.000, -20.000, 13.000
0.001, 0.005, 1.037, -27.000, -20.000, 9.000
